#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     <v_{dr}/v_{p}>         A(\omega)              NORM    <v_{y}/v_{p}>    <m/m_{x,k}
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     <v_{dr}/v_{p}>         A(\omega)              NORM    <v_{y}/v_{p}>    <m/m_{x,k}
5.09999999999999964473 0.00000000000000000000 0.00000000000000000000 1.15999999999999992006 0.56400242600384142833 0.00000000000000000000 0.99999999989098686815 -2.31505223272053273220 0.24463881370303700025
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     <v_{dr}/v_{p}>         A(\omega)              NORM    <v_{y}/v_{p}>    <m/m_{x,k}
5.20000000000000017764 0.00000000000000000000 0.00000000000000000000 1.15999999999999992006 0.56775057101149395411 0.00000000000000000000 0.99999999989071608475 -2.33043804845908208989 0.23754153340230027558
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     <v_{dr}/v_{p}>         A(\omega)              NORM    <v_{y}/v_{p}>    <m/m_{x,k}
5.29999999999999982236 0.00000000000000000000 0.00000000000000000000 1.15999999999999992006 0.57115662778346576456 0.00000000000000000000 0.99999999989042998028 -2.34441971313053576509 0.23044797234941091779
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     <v_{dr}/v_{p}>         A(\omega)              NORM    <v_{y}/v_{p}>    <m/m_{x,k}
5.40000000000000035527 0.00000000000000000000 0.00000000000000000000 1.15999999999999992006 0.57422185350805976523 0.00000000000000000000 0.99999999989013443891 -2.35700238501264136559 0.22336426175066417810
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     <v_{dr}/v_{p}>         A(\omega)              NORM    <v_{y}/v_{p}>    <m/m_{x,k}
5.50000000000000000000 0.00000000000000000000 0.00000000000000000000 1.15999999999999992006 0.57694789204565055662 0.00000000000000000000 0.99999999988982812837 -2.36819280954475042122 0.21629646026787321955
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     <v_{dr}/v_{p}>         A(\omega)              NORM    <v_{y}/v_{p}>    <m/m_{x,k}
5.59999999999999964473 0.00000000000000000000 0.00000000000000000000 1.15999999999999992006 0.57933677153260265680 0.00000000000000000000 0.99999999988951326912 -2.37799930949980309336 0.20925054503175166687
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     <v_{dr}/v_{p}>         A(\omega)              NORM    <v_{y}/v_{p}>    <m/m_{x,k}
5.70000000000000017764 0.00000000000000000000 0.00000000000000000000 1.15999999999999992006 0.58139090118525849071 0.00000000000000000000 0.99999999988918564231 -2.38643177187268262784 0.20223240278451004581
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     <v_{dr}/v_{p}>         A(\omega)              NORM    <v_{y}/v_{p}>    <m/m_{x,k}
5.79999999999999982236 0.00000000000000000000 0.00000000000000000000 1.15999999999999992006 0.58311306729876954957 0.00000000000000000000 0.99999999988885035496 -2.39350163146352512555 0.19524782117603850518
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     <v_{dr}/v_{p}>         A(\omega)              NORM    <v_{y}/v_{p}>    <m/m_{x,k}
5.90000000000000035527 0.00000000000000000000 0.00000000000000000000 1.15999999999999992006 0.58450642843858713338 0.00000000000000000000 0.99999999988849230803 -2.39922185114701580488 0.18830248023758444642
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     <v_{dr}/v_{p}>         A(\omega)              NORM    <v_{y}/v_{p}>    <m/m_{x,k}
6.00000000000000000000 0.00000000000000000000 0.00000000000000000000 1.15999999999999992006 0.58557450982548242546 0.00000000000000000000 0.99999999988813303986 -2.40360689883133460398 0.18140194405702683711
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     <v_{dr}/v_{p}>         A(\omega)              NORM    <v_{y}/v_{p}>    <m/m_{x,k}
6.09999999999999964473 0.00000000000000000000 0.00000000000000000000 1.15999999999999992006 0.58632119691841433351 0.00000000000000000000 0.99999999988775645221 -2.40667272112393115790 0.17455165267924294126
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     <v_{dr}/v_{p}>         A(\omega)              NORM    <v_{y}/v_{p}>    <m/m_{x,k}
6.20000000000000017764 0.00000000000000000000 0.00000000000000000000 1.15999999999999992006 0.58675072820251394923 0.00000000000000000000 0.99999999988736520962 -2.40843671373477219433 0.16775691425479596908
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     <v_{dr}/v_{p}>         A(\omega)              NORM    <v_{y}/v_{p}>    <m/m_{x,k}
6.29999999999999982236 0.00000000000000000000 0.00000000000000000000 1.15999999999999992006 0.58686768719284831963 0.00000000000000000000 0.99999999988695820186 -2.40891768865985111958 0.16102289745967970913
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     <v_{dr}/v_{p}>         A(\omega)              NORM    <v_{y}/v_{p}>    <m/m_{x,k}
6.40000000000000035527 0.00000000000000000000 0.00000000000000000000 1.15999999999999992006 0.58667699366794046067 0.00000000000000000000 0.99999999988654353356 -2.40813583820314125461 0.15435462420802106842
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     <v_{dr}/v_{p}>         A(\omega)              NORM    <v_{y}/v_{p}>    <m/m_{x,k}
6.50000000000000000000 0.00000000000000000000 0.00000000000000000000 1.15999999999999992006 0.58618389414998428588 0.00000000000000000000 0.99999999988611665280 -2.40611269590604059943 0.14775696267913643323
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     <v_{dr}/v_{p}>         A(\omega)              NORM    <v_{y}/v_{p}>    <m/m_{x,k}
6.59999999999999964473 0.00000000000000000000 0.00000000000000000000 1.15999999999999992006 0.58539395165214536121 0.00000000000000000000 0.99999999988566845577 -2.40287109446819879821 0.14123462067928327368
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     <v_{dr}/v_{p}>         A(\omega)              NORM    <v_{y}/v_{p}>    <m/m_{x,k}
6.70000000000000017764 0.00000000000000000000 0.00000000000000000000 1.15999999999999992006 0.58431303471631268476 0.00000000000000000000 0.99999999988520060779 -2.39843512075541553941 0.13479213935759379317
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     <v_{dr}/v_{p}>         A(\omega)              NORM    <v_{y}/v_{p}>    <m/m_{x,k}
6.79999999999999982236 0.00000000000000000000 0.00000000000000000000 1.15999999999999992006 0.58294730576756226270 0.00000000000000000000 0.99999999988472720869 -2.39283006800258490898 0.12843388729455013086
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     <v_{dr}/v_{p}>         A(\omega)              NORM    <v_{y}/v_{p}>    <m/m_{x,k}
