#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
2.07500004768371582031 0.10000000149011611938 1.25000000000000000000 116.00000000000000000000 0.44574114680290222168 0.01533259730786085129 1.00002586841583251953 -1.33902823925018310547 0.82832753658294677734 0.41422238945960998535 -1.27525782585144042969 0.83288556337356567383
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
2.73333334922790527344 0.10000000149011611938 1.25000000000000000000 116.00000000000000000000 0.57463693618774414062 0.01557464618235826492 1.00002515316009521484 -1.73348927497863769531 0.74171602725982666016 0.54297626018524169922 -1.67164528369903564453 0.74791204929351806641
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
3.39166665077209472656 0.10000000149011611938 1.25000000000000000000 116.00000000000000000000 0.70057094097137451172 0.01586982607841491699 1.00002408027648925781 -2.11769747734069824219 0.62813407182693481445 0.66885507106781005859 -2.05917763710021972656 0.63617932796478271484
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
4.05000019073486328125 0.10000000149011611938 1.25000000000000000000 116.00000000000000000000 0.82127666473388671875 0.01609009690582752228 1.00002503395080566406 -2.48385286331176757812 0.48342579603195190430 0.78983807563781738281 -2.43161845207214355469 0.49372336268424987793
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
4.70833349227905273438 0.10000000149011611938 1.25000000000000000000 116.00000000000000000000 0.93092989921569824219 0.01544720306992530823 1.00002479553222656250 -2.81203675270080566406 0.29884302616119384766 0.90134423971176147461 -2.77492690086364746094 0.31227642297744750977
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
5.36666679382324218750 0.10000000149011611938 1.25000000000000000000 116.00000000000000000000 0.98868435621261596680 0.00330935115925967693 1.00002431869506835938 -3.00524353981018066406 0.04791330546140670776 0.98158729076385498047 -3.02197289466857910156 0.06700690835714340210
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
6.02500009536743164062 0.10000000149011611938 1.25000000000000000000 116.00000000000000000000 0.68639451265335083008 -0.04193431138992309570 1.00002443790435791016 -2.31626677513122558594 -0.19947287440299987793 0.76744401454925537109 -2.36271762847900390625 -0.19577167928218841553
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
6.68333339691162109375 0.10000000149011611938 1.25000000000000000000 116.00000000000000000000 0.42757061123847961426 -0.01249591354280710220 1.00002372264862060547 -1.35926246643066406250 -0.14276999235153198242 0.45166113972663879395 -1.39051592350006103516 -0.15147869288921356201
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
7.34166669845581054688 0.10000000149011611938 1.25000000000000000000 116.00000000000000000000 0.35131105780601501465 -0.00523173622786998749 1.00002503395080566406 -1.09837317466735839844 -0.09719568490982055664 0.36160540580749511719 -1.11326158046722412109 -0.10132893919944763184
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
8.00000000000000000000 0.10000000149011611938 1.25000000000000000000 116.00000000000000000000 0.30422928929328918457 -0.00334373186342418194 1.00002527236938476562 -0.94782137870788574219 -0.07358848303556442261 0.31090849637985229492 -0.95718401670455932617 -0.07613413035869598389
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
0.10000000149011611938 0.10000000149011611938 1.62500000000000000000 116.00000000000000000000 0.00031553409644402564 0.01962954364717006683 1.00002753734588623047 0.01450647879391908646 0.94526243209838867188 0.02007776126265525818 -0.06181026622653007507 0.94492769241333007812
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
0.75833332538604736328 0.10000000149011611938 1.62500000000000000000 116.00000000000000000000 0.13194115459918975830 0.01972684077918529510 1.00002610683441162109 -0.39197057485580444336 0.93234753608703613281 0.15214940905570983887 -0.46841648221015930176 0.93035876750946044922
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
1.41666662693023681641 0.10000000149011611938 1.62500000000000000000 116.00000000000000000000 0.26248380541801452637 0.01997461356222629547 1.00002551078796386719 -0.79687035083770751953 0.89688658714294433594 0.28370544314384460449 -0.87344139814376831055 0.89319741725921630859
