#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>  A_{inst}  t    Asin
7.80000019073486328125 0.10000000149011611938 2.45499992370605468750 116.00000000000000000000 1.79282021522521972656 0.01223078090697526932 1.09445202350616455078 0.23992556333541870117 -0.68901312351226806641 1.34203577041625976562 -0.49001654982566833496 0.54735785722732543945 1.48462022887925959580 0.24240352213382720947 0.01223078090697526932
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>  A_{inst}  t    Asin
7.80000019073486328125 0.10000000149011611938 2.45499992370605468750 116.00000000000000000000 1.62849223613739013672 0.01233420148491859436 1.01457607746124267578 -0.78384524583816528320 -0.70792931318283081055 1.36189413070678710938 -0.52037894725799560547 0.52572935819625854492 1.32549354641771599539 0.25250330567359924316 0.01233420148491859436
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>  A_{inst}  t    Asin
7.80000019073486328125 0.10000000149011611938 2.45499992370605468750 116.00000000000000000000 1.47180771827697753906 0.01241523865610361099 0.93860822916030883789 -1.74668419361114501953 -0.71871763467788696289 1.37969124317169189453 -0.55082976818084716797 0.50437748432159423828 1.17639736926590177113 0.26260197162628173828 0.01241523865610361099
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>  A_{inst}  t    Asin
7.80000019073486328125 0.10000000149011611938 2.45499992370605468750 116.00000000000000000000 1.32390213012695312500 0.01247527915984392166 0.86657315492630004883 -2.64929699897766113281 -0.72238785028457641602 1.39554381370544433594 -0.58131206035614013672 0.48334002494812011719 1.03813051644067844137 0.27270063757896423340 0.01247527915984392166
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>  A_{inst}  t    Asin
7.80000019073486328125 0.10000000149011611938 2.45499992370605468750 116.00000000000000000000 1.18560159206390380859 0.01251574140042066574 0.79847377538681030273 -3.49283242225646972656 -0.71992057561874389648 1.40956723690032958984 -0.61177331209182739258 0.46265095472335815430 0.91115796625235190298 0.28279930353164672852 0.01251574140042066574
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>  A_{inst}  t    Asin
7.80000019073486328125 0.10000000149011611938 2.45499992370605468750 116.00000000000000000000 1.05739235877990722656 0.01253801118582487106 0.73426127433776855469 -4.27894449234008789062 -0.71224981546401977539 1.42187488079071044922 -0.64216530323028564453 0.44233778119087219238 0.79560556045180530482 0.29289796948432922363 0.01253801118582487106
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>  A_{inst}  t    Asin
7.80000019073486328125 0.10000000149011611938 2.45499992370605468750 116.00000000000000000000 0.93952053785324096680 0.01254342589527368546 0.67387765645980834961 -5.00951862335205078125 -0.70025354623794555664 1.43257784843444824219 -0.67244416475296020508 0.42242270708084106445 0.69135795803824329209 0.30299663543701171875 0.01254342589527368546
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>  A_{inst}  t    Asin
7.80000019073486328125 0.10000000149011611938 2.45499992370605468750 116.00000000000000000000 0.83199453353881835938 0.01253328286111354828 0.61722505092620849609 -5.68684005737304687500 -0.68473654985427856445 1.44178390502929687500 -0.70256984233856201172 0.40292519330978393555 0.59807972535344444687 0.31309530138969421387 0.01253328286111354828
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>  A_{inst}  t    Asin
7.80000019073486328125 0.10000000149011611938 2.45499992370605468750 116.00000000000000000000 0.73465663194656372070 0.01250881794840097427 0.56419849395751953125 -6.31325006484985351562 -0.66642951965332031250 1.44959688186645507812 -0.73250621557235717773 0.38385963439941406250 0.51528573889148887588 0.32319396734237670898 0.01250881794840097427
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>  A_{inst}  t    Asin
7.80000019073486328125 0.10000000149011611938 2.45499992370605468750 116.00000000000000000000 0.64720159769058227539 0.01247121300548315048 0.51467251777648925781 -6.89129257202148437500 -0.64599329233169555664 1.45611739158630371094 -0.76222074031829833984 0.36523684859275817871 0.44236993262679097372 0.33329263329505920410 0.01247121300548315048
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>  A_{inst}  t    Asin
7.80000019073486328125 0.10000000149011611938 2.45499992370605468750 116.00000000000000000000 0.56921970844268798828 0.01242159120738506317 0.46850582957267761230 -7.42355489730834960938 -0.62400412559509277344 1.46144127845764160156 -0.79168421030044555664 0.34706491231918334961 0.37864879998117151327 0.34339129924774169922 0.01242159120738506317
