#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>  A_{inst}  t
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>  A_{inst}  t
7.79999999999999982236 0.10000000000000000555 5.09999999999999964473 116.00000000000000000000 1.54232658160940228065 0.00276404923070516133 0.99999999999969590991 -1.94442932603958840154 -0.31245189826186325899 1.47349149254735278802 -0.90083343657787384728 0.28540742107276473316 -0.56762854194896583682 0.38189999999996609992
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>  A_{inst}  t
7.79999999999999982236 0.10000000000000000555 5.09999999999999964473 116.00000000000000000000 1.51605092063318802609 0.00261288643818818282 0.99999999999969113595 -1.98774846143381145325 -0.32713816562468872595 1.47457943442261485423 -0.92870848165784403161 0.26969932676245994552 -0.62944508286471079206 0.39194999999996499307
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>  A_{inst}  t
7.79999999999999982236 0.10000000000000000555 5.09999999999999964473 116.00000000000000000000 1.49022281455129634864 0.00246207835316570407 0.99999999999968358644 -2.02956477679891511556 -0.34065775319070989990 1.47496733875689445270 -0.95623499759164420908 0.25443878823782312137 -0.68736550364142068315 0.40199999999996388622
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>  A_{inst}  t
7.79999999999999982236 0.10000000000000000555 5.09999999999999964473 116.00000000000000000000 1.46494135616418952317 0.00231206938180671378 0.99999999999967725817 -2.06991377462735837156 -0.35307959400003074979 1.47471977170420354142 -0.98340270280730401886 0.23961982358857605857 -0.74140907548424295204 0.41204999999996277937
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>  A_{inst}  t
7.79999999999999982236 0.10000000000000000555 5.09999999999999964473 116.00000000000000000000 1.44028977155894222228 0.00216325668478220675 0.99999999999967215114 -2.10883433648860663112 -0.36447040096631971862 1.47389713005016220748 -1.01020322104187076917 0.22523543249251176679 -0.79161731914667499144 0.42209999999996167253
